from,to,layer
node7,node20,2
node18,node10,3
node5,node8,1
node12,node6,1
node9,node14,2
node15,node13,2
node20,node14,3
node9,node15,3
node9,node17,3
node18,node13,3
node9,node17,1
node10,node17,3
node13,node9,2
node13,node20,3
node2,node6,2
node18,node17,3
node9,node15,1
node19,node1,1
node12,node19,2
node6,node12,2
node14,node5,1
node15,node17,3
node16,node19,1
node8,node17,2
node9,node15,2
node13,node17,1
node9,node13,2
node11,node3,3
node1,node12,3
node8,node7,2
node9,node20,3
node17,node4,3
node11,node9,1
node18,node1,1
node8,node20,1
node7,node4,2
node7,node9,3
node1,node20,3
node4,node8,1
node6,node16,3
node2,node13,3
node15,node7,1
node6,node11,2
node13,node14,1
node9,node2,3
node2,node6,1
node14,node3,1
node15,node20,1
node12,node7,3
node5,node11,2
node7,node19,3
node12,node16,1
node12,node3,3
node3,node7,3
node20,node16,3
node6,node20,2
node12,node20,3
node18,node10,1
node11,node5,1
node2,node7,1
node4,node3,2
node13,node1,3
node5,node20,1
node5,node11,1
node9,node7,3
node6,node17,3
node2,node17,3
node11,node5,2
node4,node5,2
node19,node5,1
node2,node19,3
node13,node1,1
node19,node6,2
node12,node2,1
node9,node13,3
node16,node9,1
node15,node5,1
node18,node11,1
node16,node13,3
node9,node11,2
node2,node6,3
node16,node1,1
node10,node20,3
node13,node7,3
node2,node19,2
node18,node15,2
node1,node8,2
node7,node18,1
node17,node14,3
node8,node16,2
node6,node4,1
node1,node15,2
node14,node5,2
node6,node1,2
node7,node15,1
node9,node1,3
node17,node16,1
node17,node1,2
node13,node3,3
