from,to,layer
node19,node25,4
node30,node18,1
node7,node15,1
node15,node2,5
node24,node13,5
node30,node5,5
node12,node10,4
node5,node8,5
node17,node14,3
node17,node30,5
node15,node24,5
node29,node7,5
node25,node11,2
node17,node30,1
node17,node4,4
node28,node17,3
node12,node7,3
node10,node16,1
node22,node28,4
node29,node1,4
node13,node29,5
node13,node16,2
node28,node29,5
node15,node9,3
node7,node26,3
node3,node23,3
node15,node1,2
node28,node30,1
node3,node27,4
node8,node12,1
node19,node29,1
node14,node12,5
node7,node20,4
node8,node15,4
node12,node26,2
node25,node17,2
node17,node27,3
node9,node25,3
node12,node15,1
node4,node10,2
node12,node20,2
node9,node23,2
node23,node19,1
node27,node2,4
node6,node27,5
node21,node3,2
node18,node9,5
node22,node18,3
node3,node28,5
node11,node15,4
node20,node18,4
node21,node11,3
node26,node30,4
node28,node18,5
node26,node11,4
node1,node20,5
node6,node7,2
node9,node17,5
node25,node7,3
node5,node11,3
node18,node15,2
node16,node30,2
node10,node12,5
node19,node28,1
node12,node1,4
node20,node22,3
node7,node2,4
node16,node22,3
node24,node6,1
node16,node29,1
node17,node28,4
node30,node9,3
node30,node17,5
node12,node21,4
node20,node27,1
node27,node17,5
node11,node22,4
node28,node8,3
node4,node25,3
node17,node4,1
node12,node15,3
node17,node26,1
node13,node20,2
node25,node5,5
node10,node20,2
node22,node17,3
node1,node11,5
node8,node26,5
node5,node12,5
node4,node6,5
node14,node22,1
node24,node21,4
node27,node30,2
node9,node29,5
node8,node29,2
node22,node3,2
node6,node18,3
node27,node28,2
node29,node7,2
