from,to,layer
node10,node12,1
node44,node26,2
node24,node1,2
node5,node68,1
node43,node71,1
node61,node31,1
node10,node27,1
node72,node62,1
node33,node26,2
node12,node27,1
node48,node55,1
node47,node62,1
node9,node21,2
node56,node40,1
node30,node63,2
node72,node16,1
node22,node63,2
node12,node53,2
node35,node6,1
node21,node7,2
node51,node12,2
node43,node62,2
node21,node39,2
node68,node52,1
node65,node49,2
node56,node74,2
node9,node28,1
node43,node38,1
node19,node72,1
node53,node8,1
node62,node47,1
node2,node14,2
node28,node49,1
node58,node60,2
node73,node66,2
node66,node4,1
node53,node4,1
node4,node18,1
node12,node74,2
node40,node32,1
node36,node14,1
node47,node37,2
node34,node1,2
node50,node71,1
node6,node50,2
node24,node27,1
node71,node18,1
node43,node54,1
node73,node32,1
node19,node23,2
node32,node2,1
node56,node3,1
node6,node13,1
node66,node20,2
node63,node51,2
node34,node70,1
node65,node24,2
node15,node67,2
node52,node19,1
node1,node13,2
node41,node30,2
node19,node44,1
node6,node26,2
node15,node44,2
node7,node14,1
node74,node63,1
node42,node41,2
node48,node6,2
node1,node35,1
node9,node72,1
node17,node63,2
node70,node59,1
node69,node74,2
node53,node74,1
node59,node2,1
node42,node37,2
node7,node19,1
node17,node9,2
node21,node46,1
node62,node3,1
node48,node15,2
node38,node18,1
node4,node44,2
node30,node73,2
node39,node27,2
node33,node34,1
node28,node43,2
node51,node8,2
node20,node52,2
node11,node70,2
node33,node13,1
node33,node8,2
node45,node6,2
node3,node30,2
node21,node62,1
node18,node69,1
node15,node30,2
node39,node47,1
node43,node73,2
node64,node70,1
node25,node34,1
node1,node45,1
node37,node68,2
node13,node33,2
node54,node26,2
node18,node47,1
node20,node37,1
node56,node62,1
node59,node66,2
node47,node25,2
node3,node47,2
node27,node32,2
node30,node19,1
node10,node58,2
node31,node15,1
node62,node70,2
node44,node52,2
node9,node27,1
node31,node8,2
node37,node9,2
node26,node20,2
node5,node29,1
node30,node3,2
node10,node18,2
node68,node72,1
node9,node22,2
node56,node57,1
node6,node67,1
node8,node72,1
node53,node34,2
node17,node45,2
node25,node20,1
node13,node42,2
node46,node49,2
node2,node39,2
node63,node66,1
node23,node73,1
node65,node56,1
node14,node69,1
node70,node25,1
node64,node6,2
node48,node37,2
node38,node41,2
node32,node55,1
node50,node47,2
node21,node6,2
node21,node16,1
node25,node43,2
node64,node26,1
node72,node30,2
node25,node33,1
node20,node11,1
node36,node54,1
node31,node14,1
node4,node74,1
node29,node51,2
node71,node75,2
node18,node49,1
node44,node66,2
node64,node29,1
node75,node25,1
node34,node43,2
node66,node3,2
node39,node55,2
node18,node29,1
node26,node42,2
node9,node71,1
node19,node70,1
node32,node11,2
node43,node19,1
node19,node35,2
node19,node64,1
node22,node65,1
node11,node34,2
node54,node55,1
node45,node30,2
node37,node43,1
node1,node20,1
node28,node22,1
node61,node49,2
node8,node10,2
node7,node55,2
node74,node2,1
node50,node25,1
node34,node52,2
node71,node7,2
node57,node44,1
node66,node11,1
node24,node15,1
node66,node6,1
node6,node10,2
node68,node27,2
node43,node19,2
node35,node39,2
node45,node1,1
node56,node7,2
node72,node53,2
node13,node41,2
node59,node37,1
node26,node40,1
node19,node65,1
node52,node8,1
node2,node25,2
node44,node51,2
node44,node25,1
node2,node12,2
node10,node58,1
node60,node22,1
node51,node35,2
node17,node56,2
node39,node45,1
node49,node54,1
node33,node24,2
node61,node44,1
node40,node20,2
node44,node47,2
node52,node50,1
node65,node13,1
node60,node17,2
node21,node46,2
node32,node26,1
node7,node58,1
node49,node71,1
node8,node66,1
node4,node27,1
node74,node23,1
node3,node38,2
node32,node57,1
node68,node5,2
node54,node37,1
node64,node43,2
node1,node24,2
node44,node24,2
node19,node75,1
node7,node1,1
node24,node57,2
node55,node34,2
node36,node64,2
node39,node66,1
node6,node19,2
node64,node66,1
node28,node3,2
node2,node44,2
node2,node25,1
node64,node45,1
node3,node29,2
node30,node8,2
node30,node59,1
node57,node12,1
