from,to,layer
14,13,1
27,109,1
21,35,1
62,132,2
109,55,1
66,135,1
117,95,1
75,96,2
4,26,2
3,144,2
59,41,2
78,66,2
111,102,1
116,79,1
122,35,2
92,57,2
133,29,1
52,8,2
88,61,2
7,28,2
42,41,2
46,92,2
86,121,1
65,130,1
31,125,1
14,37,1
54,91,1
136,83,1
92,64,1
107,43,1
143,126,1
20,60,2
126,25,1
132,38,2
5,134,2
120,80,2
71,63,1
149,123,2
25,142,2
49,22,1
1,62,1
33,98,2
7,113,2
11,89,2
66,116,1
137,48,1
110,30,1
75,11,1
8,12,2
32,33,1
119,90,2
40,95,2
37,41,2
4,132,1
66,26,1
110,104,1
22,150,2
121,115,1
25,110,1
60,148,1
49,110,1
109,49,1
8,120,1
5,22,2
60,76,2
10,20,2
85,53,2
20,89,1
31,24,1
98,17,1
6,28,1
20,147,2
138,5,1
74,91,1
7,145,1
54,67,2
122,136,1
2,110,2
68,34,2
53,122,1
6,99,1
83,4,2
20,149,1
104,118,2
69,71,2
11,44,2
85,95,2
63,106,2
102,44,1
18,137,2
6,1,2
26,82,1
15,134,2
73,68,2
10,148,2
7,24,1
15,144,1
103,13,1
51,83,2
141,29,1
115,54,1
119,13,1
9,35,1
94,45,2
94,71,2
59,43,1
37,123,1
148,146,1
62,43,2
92,65,2
90,28,2
94,119,1
43,64,1
23,121,1
60,107,1
23,141,2
31,17,1
129,9,1
92,100,2
16,10,1
61,50,1
18,27,2
34,31,1
69,80,1
106,72,1
51,132,2
94,125,1
128,148,1
144,1,2
32,18,1
45,82,2
126,52,1
16,3,1
39,57,2
57,30,1
1,54,2
63,147,1
115,137,1
105,141,2
86,44,1
112,1,2
113,10,2
143,37,1
12,146,1
72,22,1
86,77,1
59,69,2
33,149,1
62,123,1
49,74,1
2,78,2
45,69,2
106,124,1
25,23,1
138,92,1
4,36,1
85,76,1
75,146,1
5,86,2
17,149,2
58,138,1
112,45,1
120,110,1
85,21,1
96,83,1
106,95,1
82,60,1
81,43,2
149,25,1
57,131,1
102,122,1
76,110,2
120,14,1
30,3,2
116,74,1
109,45,1
38,119,2
97,141,2
3,97,2
44,71,2
140,77,2
74,54,2
117,88,1
89,42,2
20,87,1
94,108,2
28,57,2
123,50,2
6,46,1
25,95,1
15,105,2
94,54,2
149,41,1
109,12,2
60,147,2
99,108,2
121,20,2
73,121,2
92,150,1
136,150,1
74,78,2
67,73,2
31,57,2
136,56,1
142,129,2
146,106,1
37,17,2
21,140,1
36,128,1
77,23,2
143,48,2
70,122,1
105,32,1
90,141,2
13,97,2
17,36,2
125,75,2
15,105,1
90,59,2
4,65,1
32,37,1
115,138,1
31,58,2
101,17,1
57,14,1
82,58,2
122,50,2
115,49,1
4,22,1
40,20,1
18,117,2
77,85,1
69,124,2
131,72,1
75,41,1
115,53,2
72,70,2
26,5,1
78,11,1
98,120,1
51,121,2
94,62,1
135,17,1
97,68,2
104,54,2
53,5,2
15,27,2
118,70,2
63,130,2
90,7,1
149,3,1
23,108,2
43,144,2
106,50,1
18,94,1
72,49,2
92,6,2
19,3,1
66,143,1
40,17,1
21,127,1
60,124,1
121,124,1
78,33,1
144,32,1
2,115,2
76,57,2
135,32,2
127,137,2
125,24,2
55,50,2
25,125,1
