from,to,layer
6,47,3
46,10,2
8,44,1
45,21,3
28,8,1
2,30,1
50,3,3
2,47,2
6,13,2
40,19,2
41,5,2
23,24,1
50,18,2
20,36,3
44,29,1
22,45,3
18,46,2
19,23,1
11,24,3
17,44,1
13,37,2
8,33,1
17,39,3
41,49,3
31,7,2
9,14,3
46,31,1
21,10,1
6,23,1
1,12,3
16,44,3
33,15,3
38,33,1
49,47,3
30,36,3
33,19,1
2,11,1
47,15,1
15,7,1
14,48,1
14,9,3
49,1,2
31,23,1
3,5,3
11,6,2
50,32,3
34,45,3
25,24,1
49,36,3
12,8,2
45,28,2
14,21,2
47,39,1
24,49,3
12,46,1
31,40,2
23,37,3
16,12,2
10,23,1
33,2,1
12,11,1
38,6,2
23,41,2
1,23,1
47,40,1
26,37,1
8,21,3
40,34,1
46,45,1
18,40,2
1,20,3
47,40,3
35,50,1
47,5,3
42,25,2
12,24,3
1,9,2
35,33,3
9,50,2
14,48,3
37,10,1
38,6,1
38,29,2
44,35,1
37,30,3
31,16,3
47,11,2
49,11,2
25,38,2
5,39,3
16,12,3
33,40,1
27,10,2
33,4,2
18,14,2
45,48,1
45,42,3
36,16,2
42,2,1
