name,taxon
Brapic,ants
Camruf,ants
Ceppus,ants
Psepal,ants
Bracor,ants
Camtra,ants
Camwes,ants
Dorgoe,ants
Camcra,ants
Camvit,ants
Linmic,ants
Linsp1,ants
Psegra,ants
Brasp1,ants
Cambla,ants
Ecttub,ants
Phetri,ants
Dorsp1,ants
Cepedu,ants
Creere,ants
Wasaur,ants
Dorsp2,ants
Camley,ants
Attlae,ants
Pseter,ants
Ectede,ants
Pheoxy,ants
Nesspi,ants
Crecri,ants
Nessp1,ants
Crosp1,plants
Charam,plants
Velniv,plants
Lamsp1,plants
Symret,plants
Banang,plants
Byrsp1,plants
Oursem,plants
Baccon,plants
Chades,plants
Cuperi,plants
Hypsp1,plants
Aspjol,plants
Velala,plants
Velcor,plants
Barfla,plants
Gaymon,plants
Myrmon,plants
Mikita,plants
Lavcon,plants
Tetmic,plants
Kiepet,plants
Phicip,plants
Quacor,plants
Byrvar,plants
Palrig,plants
Vocthy,plants
Chapap,plants
Chrsp1,plants
Cocacr,plants
Diomel,plants
Erycam,plants
Syagla,plants
Davell,plants
Guanox,plants
Lycrup,plants
Tricip,plants
Velalo,plants
Neethe,plants
Paevel,plants
Sabbra,plants
Lipsp1,plants
Chacip,plants
Sapgla,plants
Camcor,plants
Remfer,plants
Melsp1,plants
sp1,plants
Lycram,plants
Myrsp1,plants
Micfer,plants
Peitom,plants
Biocor,plants
Roumon,plants
Erihyp,plants
Lavsp1,plants
Diporb,plants
Pilcip,plants
Dasret,plants
Ruevil,plants
Lipflo,plants
Bersim,plants
Decdel,plants
Echsch,plants
Dalmis,plants
Mikneu,plants
Trelan,plants
Bancam,plants
Velnan,plants
Kiereg,plants
Coccer,plants
Tibcar,plants
Lavcor,plants
Luxsch,plants
Spisel,plants
Leswar,plants
Micful,plants
Pseang,plants
